question,option1,option2,option3,option4,correctoption
1. What is the synonym of 'abundant'?,plentiful,scarce,limited,rare,plentiful
2. What is 15% of 200?,25,30,35,40,30
3. Select the sentence with correct grammar.;He don't know her.;He doesn't knows her.;He doesn't know her.;He not know her.;He doesn't know her.
4. What is the value of x if 2x + 4 = 12?,2,3,4,5,4
5. Choose the antonym of 'optimistic'.,positive,hopeful,pessimistic,cheerful,pessimistic
6. If a car travels 60 miles in 1.5 hours; what is its speed in mph?,30,40,50,60,40
7. Which sentence uses the correct form of 'their'?,Their going to the park.,They left their books here.,There coming soon.,Their is a meeting.,They left their books here.
8. Simplify: (5^2) - (3^2).,10,12,16,4,16
9. Find the error: "Each of the students are responsible.",students,responsible,are,of,are
10. If x = 5 and y = 3; what is the value of x^2 + y^2?,9,15,34,25,34
11. Which is the correctly spelled word?,concious,conscious,conciouss,consious,conscious
12. A train travels 120 miles in 2 hours; what is its average speed?,30,40,50,60,60
13. Fill in the blank: He ____ to the store yesterday.,go,went,goes,going,went
14. If 3x = 12; what is the value of x?,2,3,4,6,4
15. Which is a synonym of 'persevere'?,quit,succeed,persist,abandon,persist
16. Solve for x: x + 3 = 10.,5,6,7,8,7
17. Select the sentence with correct punctuation.;Its a nice day; Its a nice day?;It’s a nice day.;Its’ a nice day.;It’s a nice day.
18. If y = 7; what is the value of 2y - 3?,8,9,10,11,11
19. Choose the word that best completes the sentence: He was ____ when he heard the news.,happy,happier,happiest,happily,happy
20. Find the mode of the set: 3, 5, 5, 7, 8.,3,5,7,8,5
21. Select the correct phrase: They ____ finished their work.,has,have,is,am,have
22. If a rectangle has a length of 8 and width of 3; what is the area?,11,24,16,18,24
23. Which of these is a noun?,quickly,run,swim,teacher,teacher
24. Solve for x in the equation: 4x - 7 = 9.,3,4,5,6,4
25. Choose the correct verb form: He ____ to school every day.,walk,walks,walking,walked,walks